Gender,Height,Weight,Bust/Chest,Cup Size,Waist,Hips,Body Shape Index
Female,"5'9""",74,47,DD,23,29,2
Male,"5'7""",71,47,,28,29,1
Male,"6'2""",104,30,,46,47,4
Male,"5'5""",79,52,,36,44,2
Female,"4'11""",47,43,AA,22,27,2
Female,"4'11""",45,39,DD,29,39,0
Male,"6'0""",95,39,,26,36,1
Female,"6'1""",73,36,AA,41,42,4
Female,"5'2""",74,42,D,41,50,1
Male,"5'9""",82,37,,27,35,0
Male,"4'11""",59,34,,45,45,3
Female,"5'9""",77,38,AA,36,44,1
Male,"4'11""",51,36,,40,50,4
Female,"5'0""",43,33,E,36,40,0
Female,"6'1""",68,34,F,24,27,4
Female,"4'10""",59,29,A,38,47,3
Male,"6'1""",90,37,,44,44,3
Female,"6'4""",80,42,B,41,47,0
Female,"5'5""",50,34,B,32,39,0
Female,"6'3""",98,41,A,32,40,2
Female,"5'3""",60,34,A,30,38,3
Male,"5'3""",47,41,,39,44,4
Female,"6'1""",102,33,B,35,44,2
Female,"5'0""",46,33,F,37,47,2
Male,"6'1""",99,50,,42,42,3
Female,"5'9""",66,43,C,39,46,4
Female,"5'1""",44,42,C,22,31,4
Male,"6'2""",73,43,,37,44,2
Female,"4'11""",64,28,F,27,33,0
Male,"6'0""",92,50,,47,48,3
Female,"5'3""",70,34,D,41,47,3
Male,"5'11""",93,40,,39,49,2
Male,"6'4""",74,51,,38,44,2
Female,"5'9""",66,38,C,23,31,1
Male,"5'0""",48,44,,36,44,4
Male,"6'6""",116,48,,41,48,4
Male,"6'2""",82,52,,30,30,4
Male,"6'2""",83,50,,46,46,4
Male,"5'3""",74,34,,42,42,3
Female,"5'7""",85,46,A,41,47,2
Female,"5'5""",76,45,C,41,44,4
Female,"5'9""",83,32,DD,31,37,4
Male,"5'3""",50,38,,37,40,2
Male,"5'7""",73,51,,46,50,0
Female,"6'4""",76,36,DD,40,50,1
Male,"5'10""",85,37,,37,44,4
Male,"6'6""",111,41,,46,48,4
Female,"5'0""",47,42,F,35,37,1
Male,"6'2""",91,32,,38,42,1
Male,"6'1""",103,46,,32,42,1
Male,"4'11""",67,31,,37,40,2
Female,"6'0""",77,33,F,31,33,1
Female,"5'0""",70,41,A,23,23,1
Female,"4'10""",45,28,D,26,31,2
Female,"5'11""",98,29,AA,25,34,0
Male,"5'3""",63,34,,43,50,2
Male,"5'11""",97,38,,45,45,3
Female,"5'11""",60,42,E,28,34,3
Female,"5'6""",56,28,B,23,28,2
Male,"5'4""",61,42,,35,40,0
Female,"6'1""",103,32,F,42,42,0
Female,"5'2""",63,28,D,33,35,0
Male,"6'6""",117,50,,29,30,1
Female,"4'11""",65,40,C,31,39,1
Female,"6'1""",77,33,E,37,40,2
Male,"5'11""",78,52,,46,46,3
Female,"6'3""",99,35,B,23,33,1
Female,"5'5""",50,28,C,33,37,1
Male,"5'11""",87,33,,27,32,1
Male,"5'6""",78,46,,29,39,0
Female,"4'10""",44,31,AA,23,33,0
Male,"6'1""",65,47,,42,45,3
Male,"5'3""",57,49,,27,32,1
Female,"6'6""",101,40,A,34,39,2
Female,"4'10""",45,34,B,28,32,0
Female,"5'5""",78,40,A,36,41,1
Male,"5'1""",56,34,,39,39,2
Male,"5'4""",79,46,,48,49,2
Female,"5'8""",56,40,F,40,44,3
Female,"5'4""",52,33,F,24,32,2
Male,"5'11""",82,34,,44,45,0
Female,"5'6""",57,42,D,38,47,2
Male,"5'4""",73,44,,27,29,0
Female,"6'4""",77,44,D,38,46,4
Male,"4'11""",53,31,,40,44,0
Female,"6'6""",116,32,DD,34,42,3
Male,"6'5""",105,40,,32,42,3
Female,"5'3""",52,41,C,28,33,0
Male,"5'9""",62,32,,41,50,4
Female,"5'1""",65,40,A,34,44,4
Female,"5'10""",87,40,DD,31,31,4
Female,"5'1""",67,31,DD,40,49,1
Male,"5'4""",73,41,,37,37,2
Male,"5'7""",61,46,,26,27,1
Male,"5'0""",54,48,,27,27,4
Female,"5'10""",64,28,B,24,25,4
Female,"6'0""",66,34,C,40,40,0
Male,"5'9""",72,47,,32,41,3
Female,"5'11""",67,48,DD,31,31,1
Female,"5'6""",78,29,A,31,41,4
Female,"6'1""",79,41,F,38,42,2
Male,"5'11""",71,40,,30,39,1
Female,"6'5""",87,44,C,36,37,3
Female,"5'2""",51,42,AA,31,35,4
Male,"5'4""",71,37,,36,46,0
Male,"6'4""",112,38,,26,28,1
Male,"6'6""",114,41,,40,45,4
Female,"5'2""",52,31,E,37,41,0
Male,"4'11""",59,33,,28,36,0
Female,"6'6""",89,41,F,28,35,1
Male,"6'0""",71,45,,39,39,2
Female,"5'7""",68,47,F,38,39,2
Male,"5'0""",56,41,,26,26,2
Male,"6'6""",101,35,,29,34,4
Female,"6'4""",80,36,B,22,29,3
Male,"5'3""",64,36,,32,34,1
Female,"4'11""",57,45,B,38,45,1
Male,"5'8""",76,30,,44,49,4
Female,"5'9""",62,47,D,27,37,1
Female,"5'5""",65,33,AA,23,23,0
Male,"5'4""",75,32,,41,49,3
Male,"6'5""",95,43,,36,41,1
Female,"4'10""",63,28,D,31,37,0
Female,"4'10""",49,34,AA,37,45,2
Male,"6'6""",84,32,,34,42,0
Female,"5'6""",71,41,AA,39,44,4
Female,"6'5""",104,40,D,25,29,1
Female,"5'7""",74,48,F,22,25,2
Male,"6'3""",89,34,,28,37,1
Male,"5'10""",78,33,,40,42,4
Male,"4'11""",62,33,,26,33,4
Male,"5'1""",68,42,,36,46,3
Male,"5'0""",50,30,,37,42,3
Female,"5'9""",82,40,E,32,38,2
Male,"5'7""",74,42,,48,49,2
Female,"6'3""",104,36,C,29,31,1
Female,"5'0""",46,29,AA,30,33,0
Male,"6'1""",71,46,,34,34,4
Male,"5'9""",58,41,,36,42,1
Female,"5'0""",59,28,C,31,33,4
Male,"6'1""",93,49,,41,42,3
Male,"5'4""",52,37,,30,31,4
Female,"6'5""",77,34,AA,34,37,0
Male,"5'9""",89,46,,33,42,4
Male,"4'11""",52,39,,26,29,4
Male,"5'3""",60,33,,38,47,0
Male,"5'0""",67,41,,38,46,0
Male,"5'9""",67,50,,39,46,4
Female,"6'2""",84,38,A,22,27,2
Female,"6'5""",108,48,C,33,43,4
Male,"6'1""",74,38,,34,38,2
Female,"5'11""",81,45,DD,39,46,4
Female,"4'11""",60,33,AA,33,40,1
Female,"6'4""",72,37,F,32,42,3
Female,"6'6""",93,32,B,29,38,0
Male,"6'6""",99,48,,32,36,1
Male,"5'8""",55,36,,40,45,4
Male,"6'0""",66,51,,46,46,1
Male,"5'0""",46,31,,34,44,1
Female,"5'11""",86,31,DD,35,40,4
Female,"4'10""",54,46,A,39,49,1
Female,"5'8""",86,28,F,29,38,2
Female,"5'8""",69,35,E,27,29,0
Male,"5'0""",65,43,,33,34,0
Female,"5'1""",61,48,E,22,24,3
Male,"6'3""",77,52,,44,45,1
Male,"5'4""",61,32,,27,35,1
Female,"6'4""",93,46,C,35,42,0
Male,"5'5""",74,46,,48,48,3
Female,"4'10""",42,38,E,23,33,3
Male,"5'11""",79,49,,33,37,4
Female,"6'0""",83,31,D,40,41,4
Female,"5'11""",94,46,E,24,24,2
Male,"5'0""",53,30,,37,45,4
Male,"5'4""",64,43,,42,43,1
Male,"4'11""",47,35,,33,42,2
Male,"6'0""",70,39,,40,45,3
Male,"5'8""",63,50,,43,48,3
Female,"5'5""",53,40,F,35,39,0
Female,"5'1""",72,36,B,23,24,0
Female,"6'0""",95,40,A,26,26,3
Female,"4'11""",52,33,C,34,37,0
Male,"6'6""",79,39,,34,37,0
Female,"5'7""",63,46,B,31,34,2
Female,"6'1""",81,48,AA,34,39,3
Male,"5'3""",72,30,,28,35,1
Female,"6'2""",82,37,B,27,32,3
Male,"6'4""",97,45,,41,47,4
Male,"5'3""",53,31,,35,43,1
Female,"5'9""",75,43,B,28,33,0
Female,"5'3""",71,39,D,23,28,1
Female,"5'8""",78,43,C,41,42,4
Female,"5'1""",65,35,DD,34,36,3
Female,"5'2""",58,47,DD,29,35,4
Female,"5'8""",72,38,A,29,38,3
Male,"6'0""",97,41,,38,47,0
Male,"5'10""",70,44,,40,40,0
Male,"6'0""",68,31,,36,43,0
Female,"6'5""",78,41,E,27,32,4
Male,"4'11""",44,34,,38,47,4
Female,"6'4""",106,28,DD,41,45,0
Male,"6'5""",115,37,,41,46,3
Male,"4'11""",62,45,,43,50,3
Male,"5'6""",69,51,,48,49,1
Female,"5'0""",61,31,C,39,46,4
Female,"6'3""",99,42,E,38,44,1
Male,"6'4""",82,30,,28,29,2
Male,"6'6""",99,38,,47,49,3
Female,"6'4""",95,31,AA,31,40,2
Male,"6'0""",89,32,,32,36,4
Female,"5'3""",49,43,AA,38,47,0
Male,"6'3""",106,38,,48,49,1
Female,"6'2""",67,35,D,22,26,3
Male,"6'2""",100,30,,27,27,4
Female,"6'5""",72,41,B,40,46,1
Male,"6'1""",68,49,,27,30,0
Female,"6'0""",89,36,E,39,45,0
Female,"6'6""",101,28,AA,40,47,0
Female,"6'6""",97,32,DD,39,41,1
Female,"5'5""",56,31,D,34,36,3
Female,"6'5""",88,37,F,39,40,1
Female,"5'1""",66,46,B,31,39,4
Female,"6'3""",102,28,F,34,41,1
Female,"5'8""",75,33,DD,34,41,2
Female,"5'0""",50,40,B,31,33,2
Female,"6'2""",95,35,E,22,28,1
Male,"5'9""",88,36,,26,26,1
Male,"5'9""",58,33,,41,47,4
Male,"5'5""",53,43,,35,40,1
Female,"6'4""",107,29,B,32,38,4
Female,"5'1""",71,30,DD,39,49,1
Male,"6'3""",81,44,,43,50,3
Male,"4'11""",59,46,,39,42,3
Male,"5'0""",62,33,,29,35,2
Male,"5'1""",71,39,,42,46,1
Female,"6'6""",112,44,F,27,30,2
Female,"6'2""",82,30,D,33,42,4
Female,"4'11""",50,32,D,31,39,1
Female,"6'0""",74,39,E,38,45,0
Male,"5'10""",81,37,,30,34,1
Male,"6'6""",98,47,,33,34,0
Male,"6'4""",71,30,,32,37,0
Female,"6'5""",111,41,E,27,27,1
Male,"6'6""",99,34,,26,28,4
Female,"5'1""",62,32,A,33,34,4
Female,"5'11""",71,30,AA,27,37,4
Female,"6'6""",92,40,B,28,36,3
Male,"5'7""",81,40,,32,33,3
Female,"5'9""",89,40,B,39,39,0
Male,"5'0""",51,42,,42,50,4
Female,"5'7""",72,44,A,32,40,2
Male,"6'2""",101,38,,34,38,0
Male,"5'0""",60,43,,46,47,1
Female,"5'8""",65,46,A,37,45,0
Female,"6'0""",69,29,C,30,36,2
Female,"6'6""",108,42,B,39,40,3
Female,"4'10""",61,39,D,31,38,3
Female,"5'3""",69,43,DD,42,48,2
Male,"5'10""",75,47,,43,47,0
Male,"5'9""",60,40,,38,44,1
Female,"5'4""",75,38,D,38,45,0
Female,"6'4""",104,34,A,40,40,0
Female,"6'1""",69,42,AA,35,41,1
Female,"6'2""",78,33,DD,22,22,3
Female,"5'4""",63,41,AA,26,30,2
Male,"5'0""",53,36,,43,43,0
Female,"6'1""",83,36,AA,34,36,2
Female,"5'2""",47,40,C,36,36,1
Male,"6'1""",76,41,,45,45,2
Female,"5'0""",52,28,C,24,30,1
Male,"6'1""",102,48,,33,40,4
Male,"5'10""",95,30,,44,49,4
Male,"5'2""",59,46,,35,36,1
Male,"5'5""",79,38,,29,32,2
Male,"5'7""",73,43,,39,45,4
Male,"4'11""",50,37,,33,43,1
Female,"5'4""",64,47,C,32,42,1
Female,"5'6""",65,39,A,33,35,0
Male,"5'0""",60,41,,39,42,2
Male,"5'11""",79,37,,30,33,1
Female,"5'6""",66,41,AA,34,44,0
Female,"6'5""",115,42,AA,40,46,1
Female,"5'9""",74,34,DD,33,40,4
Male,"5'8""",73,34,,38,47,3
Male,"6'2""",103,40,,43,48,0
Male,"5'1""",69,50,,28,37,4
Male,"6'3""",70,38,,29,38,4
Male,"6'5""",79,38,,34,37,3
Female,"5'7""",77,38,F,31,39,4
Male,"5'9""",62,46,,36,44,4
Female,"6'4""",92,35,AA,33,43,1
Male,"6'5""",99,30,,35,45,2
Male,"5'9""",60,36,,45,45,3
Female,"5'0""",47,36,C,33,43,3
Male,"5'4""",65,49,,37,38,2
Male,"4'10""",52,37,,28,37,4
Female,"5'6""",55,34,E,29,39,4
Male,"5'4""",61,36,,43,47,4
Female,"5'7""",70,33,F,37,44,1
Male,"5'11""",83,30,,33,39,3
Female,"5'7""",69,30,A,42,42,2
Female,"6'1""",101,32,B,27,27,3
Male,"6'2""",100,37,,34,44,4
Female,"5'1""",57,44,AA,23,31,2
Female,"5'10""",86,43,E,25,27,1
Male,"6'6""",106,46,,31,37,1
Male,"5'11""",93,52,,46,47,2
Female,"5'10""",85,41,B,35,42,0
Female,"6'1""",86,36,AA,28,38,0
Female,"6'0""",91,45,B,33,39,0
Male,"4'11""",42,43,,26,31,0
Male,"5'0""",67,46,,43,43,1
Male,"6'0""",74,42,,34,37,4
Male,"5'4""",74,46,,45,48,1
Female,"5'11""",72,47,F,28,35,1
Male,"5'2""",57,42,,30,30,0
Female,"5'9""",76,40,B,36,40,2
Male,"5'6""",76,31,,44,48,1
Male,"5'5""",80,39,,30,31,0
Male,"5'9""",85,50,,28,35,0
Female,"5'10""",60,31,AA,23,24,2
Male,"4'11""",57,39,,31,32,3
Male,"6'4""",81,35,,33,38,1
Male,"5'4""",70,43,,41,44,3
Male,"5'5""",72,46,,33,42,0
Male,"4'10""",58,41,,45,46,1
Female,"5'7""",69,33,B,24,26,2
Female,"5'2""",57,40,F,29,33,4
Male,"5'0""",51,36,,39,45,0
Female,"6'6""",92,30,A,38,42,2
Male,"5'4""",50,33,,30,39,1
Female,"5'2""",46,39,D,26,28,2
Female,"6'4""",69,37,D,28,28,3
